timestamp,temperature_c,humidity_pct,soil_moisture_pct,light_lux
2026-01-05T00:00:00Z,18.989,71.064,57.908,0.000
2026-01-05T00:15:00Z,19.546,71.964,57.785,0.000
2026-01-05T00:30:00Z,19.332,71.164,57.932,0.000
2026-01-05T00:45:00Z,19.108,71.366,57.711,0.000
2026-01-05T01:00:00Z,19.370,70.591,57.761,0.000
2026-01-05T01:15:00Z,19.151,70.961,57.629,0.000
2026-01-05T01:30:00Z,19.804,70.345,57.333,0.000
2026-01-05T01:45:00Z,19.718,70.266,57.350,0.000
2026-01-05T02:00:00Z,19.714,69.970,56.993,0.000
2026-01-05T02:15:00Z,19.654,70.888,57.022,0.000
2026-01-05T02:30:00Z,20.269,70.243,57.012,0.000
2026-01-05T02:45:00Z,19.880,70.072,56.756,0.000
2026-01-05T03:00:00Z,20.324,69.091,56.603,0.000
2026-01-05T03:15:00Z,20.172,68.665,56.748,0.000
2026-01-05T03:30:00Z,20.823,69.462,56.482,0.000
2026-01-05T03:45:00Z,20.952,68.642,56.412,0.000
2026-01-05T04:00:00Z,20.992,67.886,56.359,0.000
2026-01-05T04:15:00Z,21.574,68.536,56.290,0.000
2026-01-05T04:30:00Z,21.424,66.798,56.234,0.000
2026-01-05T04:45:00Z,21.500,67.469,55.773,0.000
2026-01-05T05:00:00Z,22.224,66.474,55.966,0.000
2026-01-05T05:15:00Z,22.256,65.667,55.640,0.000
2026-01-05T05:30:00Z,22.257,66.074,55.855,0.000
2026-01-05T05:45:00Z,22.783,65.613,55.468,0.000
2026-01-05T06:00:00Z,22.906,65.262,55.470,0.000
2026-01-05T06:15:00Z,23.087,64.745,55.539,2742.349
2026-01-05T06:30:00Z,23.308,63.565,55.305,5406.912
2026-01-05T06:45:00Z,23.405,64.358,54.943,8138.064
2026-01-05T07:00:00Z,23.658,64.010,54.854,10898.142
2026-01-05T07:15:00Z,23.987,62.984,55.104,13396.674
2026-01-05T07:30:00Z,24.648,63.194,54.937,15835.048
