timestamp,temperature_c,humidity_pct,soil_moisture_pct,light_lux
2026-01-05T00:00:00Z,17.550,63.728,53.000,0.000
2026-01-05T00:15:00Z,17.546,64.663,52.999,0.000
2026-01-05T00:30:00Z,17.815,63.832,52.893,0.000
2026-01-05T00:45:00Z,17.681,63.989,52.833,0.000
2026-01-05T01:00:00Z,17.602,63.334,52.747,0.000
2026-01-05T01:15:00Z,18.170,63.092,52.342,0.000
2026-01-05T01:30:00Z,18.295,63.889,52.533,0.000
2026-01-05T01:45:00Z,18.347,62.865,52.346,0.000
2026-01-05T02:00:00Z,18.396,63.825,51.922,0.000
2026-01-05T02:15:00Z,18.410,63.247,52.288,0.000
2026-01-05T02:30:00Z,18.519,63.078,51.985,0.000
2026-01-05T02:45:00Z,18.992,62.856,51.677,0.000
2026-01-05T03:00:00Z,18.947,62.112,51.691,0.000
2026-01-05T03:15:00Z,19.173,62.299,51.602,0.000
2026-01-05T03:30:00Z,18.844,61.789,51.642,0.000
2026-01-05T03:45:00Z,19.606,60.756,51.303,0.000
2026-01-05T04:00:00Z,19.482,60.175,51.211,0.000
2026-01-05T04:15:00Z,19.698,60.109,51.153,0.000
2026-01-05T04:30:00Z,19.847,59.842,50.888,0.000
2026-01-05T04:45:00Z,20.255,60.035,50.929,0.000
2026-01-05T05:00:00Z,20.206,58.762,50.940,0.000
2026-01-05T05:15:00Z,20.712,59.159,50.585,0.000
2026-01-05T05:30:00Z,20.793,58.299,50.750,0.000
2026-01-05T05:45:00Z,21.048,57.894,50.516,0.000
2026-01-05T06:00:00Z,21.551,57.581,50.611,0.000
2026-01-05T06:15:00Z,21.434,56.986,50.253,2062.577
2026-01-05T06:30:00Z,21.968,56.428,50.537,3775.873
2026-01-05T06:45:00Z,22.270,55.819,50.056,5692.055
2026-01-05T07:00:00Z,22.830,55.982,49.992,7446.326
2026-01-05T07:15:00Z,22.809,55.352,50.004,9313.552
2026-01-05T07:30:00Z,22.753,55.193,49.799,11212.790
2026-01-05T07:45:00Z,23.329,55.244,49.808,12913.417
2026-01-05T08:00:00Z,23.452,54.931,49.725,14522.146
2026-01-05T08:15:00Z,23.537,53.669,49.343,15948.105
2026-01-05T08:30:00Z,23.847,54.110,49.425,17608.818
2026-01-05T08:45:00Z,23.673,53.157,49.597,19102.311
2026-01-05T09:00:00Z,23.954,52.505,49.469,20295.038
2026-01-05T09:15:00Z,24.388,52.445,49.221,21717.060
2026-01-05T09:30:00Z,24.515,52.107,49.081,22814.368
2026-01-05T09:45:00Z,25.000,51.957,48.735,24060.585
2026-01-05T10:00:00Z,24.618,51.651,48.888,24933.761
2026-01-05T10:15:00Z,25.024,51.082,48.904,25777.327
2026-01-05T10:30:00Z,25.035,51.118,48.545,26648.894
2026-01-05T10:45:00Z,24.858,50.766,48.564,27454.291
2026-01-05T11:00:00Z,24.982,51.226,48.213,27774.693
2026-01-05T11:15:00Z,24.912,50.467,48.163,28251.895
2026-01-05T11:30:00Z,25.604,50.626,48.109,28669.648
2026-01-05T11:45:00Z,25.545,50.453,48.249,28822.474
2026-01-05T12:00:00Z,25.117,51.074,47.760,28717.370
2026-01-05T12:15:00Z,25.059,50.743,47.720,28901.310
2026-01-05T12:30:00Z,25.609,51.720,47.618,28515.352
2026-01-05T12:45:00Z,25.109,50.847,47.852,28232.019
2026-01-05T13:00:00Z,25.043,51.229,47.748,27768.647
2026-01-05T13:15:00Z,25.358,50.775,47.715,27429.088
2026-01-05T13:30:00Z,25.048,52.177,47.303,26605.291
